Date      | ID    | Username           | Total Money  |Total Distance|  Today Money | Today Distance
2025-11-19|       |                    |  1,553,594 $ |   165,830 km |      22,058 $ |    134 km
2025-11-20|       |                    |  1,634,549 $ |   166,329 km |      52,589 $ |    308 km
2025-11-30|       |                    |  1,960,574 $ |   170,919 km |       1,015 $ |     22 km

2025-12-01|       |                    |  1,883,127 $ |   171,398 km |     -77,447 $ |    479 km
2025-12-02|       |                    |  1,899,438 $ |   171,853 km |      16,179 $ |    452 km
2025-12-03|       |                    |  1,923,822 $ |   172,307 km |      24,371 $ |    454 km
2025-12-04|       |                    |  1,949,970 $ |   172,788 km |      26,119 $ |    481 km
2025-12-05|       |                    |  1,979,744 $ |   173,261 km |      29,720 $ |    471 km
2025-12-06|       |                    |  1,993,333 $ |   173,626 km |      13,219 $ |    360 km
2025-12-07|       |                    |  2,024,843 $ |   174,155 km |      31,434 $ |    527 km
2025-12-08|       |                    |  2,035,694 $ |   174,419 km |      10,734 $ |    261 km
2025-12-13|       |                    |  2,183,819 $ |   177,015 km |       9,561 $ |    122 km
2025-12-14|       |                    |  2,209,612 $ |   177,511 km |      25,727 $ |    494 km
2025-12-15|       |                    |  2,241,197 $ |   178,048 km |      31,495 $ |    533 km
2025-12-16|       |                    |  2,267,768 $ |   178,618 km |      26,450 $ |    567 km
2025-12-17|       |                    |  2,286,872 $ |   179,128 km |      19,023 $ |    508 km
2025-12-18|       |                    |  2,300,844 $ |   179,683 km |      13,887 $ |    553 km
2025-12-19|       |                    |  2,325,464 $ |   180,133 km |      24,620 $ |    450 km
2025-12-20|       |                    |  2,346,470 $ |   180,639 km |      20,253 $ |    504 km
2025-12-21|       |                    |  2,362,051 $ |   181,065 km |      15,486 $ |    423 km
2025-12-22|       |                    |  2,392,412 $ |   181,524 km |      30,207 $ |    458 km
2025-12-23|       |                    |  2,419,935 $ |   182,032 km |      27,523 $ |    508 km
2025-12-24|       |                    |  2,458,201 $ |   182,587 km |      38,198 $ |    553 km
2025-12-25|       |                    |  2,501,148 $ |   183,142 km |      42,831 $ |    551 km
2025-12-26|       |                    |  2,539,112 $ |   183,694 km |      37,893 $ |    551 km
2025-12-27|       |                    |  2,583,768 $ |   184,258 km |      44,584 $ |    562 km
2025-12-28|       |                    |  2,622,360 $ |   184,790 km |      38,535 $ |    530 km
2025-12-29|       |                    |  2,668,041 $ |   185,313 km |      35,060 $ |    325 km
2025-12-30|       |                    |  2,711,077 $ |   185,793 km |      42,870 $ |    474 km
2025-12-31|       |                    |    250,354 $ |   186,321 km |  -2,460,832 $ |    522 km

2026-01-01|       |                    |    278,630 $ |   186,723 km |      28,276 $ |    402 km
2026-01-02|       |                    |    309,781 $ |   187,189 km |      31,154 $ |    466 km
2026-01-03|       |                    |    348,434 $ |   187,743 km |      38,627 $ |    553 km
2026-01-04|       |                    |    386,185 $ |   188,284 km |      22,628 $ |    209 km
2026-01-05|       |                    |    424,072 $ |   188,804 km |      39,061 $ |    514 km
2026-01-06|       |                    |    458,667 $ |   189,304 km |      34,602 $ |    500 km
2026-01-07|       |                    |    482,554 $ |   189,705 km |      23,585 $ |    396 km
2026-01-08|       |                    |    516,205 $ |   190,129 km |      33,278 $ |    422 km
2026-01-09|       |                    |    549,226 $ |   190,577 km |      32,855 $ |    444 km
2026-01-10|       |                    |    579,431 $ |   191,091 km |      30,096 $ |    511 km
2026-01-11|       |                    |    616,692 $ |   191,630 km |      37,011 $ |    533 km
2026-01-12|       |                    |    644,051 $ |   192,110 km |      27,359 $ |    480 km
2026-01-13|       |                    |    673,562 $ |   192,515 km |      29,347 $ |    401 km
2026-01-14|       |                    |    685,471 $ |   192,859 km |      11,827 $ |    341 km
2026-01-15|       |                    |    714,817 $ |   193,264 km |      29,346 $ |    405 km
2026-01-16|       |                    |    743,401 $ |   193,699 km |      28,573 $ |    434 km
2026-01-17|       |                    |    761,566 $ |   194,234 km |      27,573 $ |    533 km
2026-01-18|       |                    |    800,766 $ |   194,761 km |      39,044 $ |    523 km
2026-01-19|       |                    |    837,071 $ |   195,266 km |      36,187 $ |    501 km
2026-01-20|       |                    |    864,917 $ |   195,647 km |      27,846 $ |    381 km
2026-01-21|       |                    |    889,307 $ |   196,083 km |      24,384 $ |    436 km
2026-01-22|       |                    |    902,821 $ |   196,374 km |      13,269 $ |    290 km
2026-01-23|       |                    |    930,939 $ |   196,778 km |      28,113 $ |    404 km
2026-01-24|       |                    |    959,047 $ |   197,261 km |      27,981 $ |    479 km
2026-01-25|       |                    |    943,258 $ |   197,713 km |     -16,229 $ |    452 km
2026-01-26|       |                    |    969,376 $ |   198,166 km |      26,033 $ |    451 km
2026-01-27|       |                    |  1,001,025 $ |   198,622 km |      31,600 $ |    455 km
2026-01-28|       |                    |  1,041,301 $ |   199,129 km |      40,133 $ |    503 km
2026-01-29|       |                    |  1,061,294 $ |   199,493 km |      19,962 $ |    362 km
2026-01-30|       |                    |  1,098,828 $ |   200,000 km |      37,409 $ |    502 km
2026-01-31|       |                    |  1,125,056 $ |   200,511 km |      26,108 $ |    506 km

2026-02-01|       |                    |  1,136,246 $ |   200,831 km |      11,168 $ |    319 km
2026-02-02|       |                    |  1,173,414 $ |   201,318 km |      37,092 $ |    476 km
2026-02-03|       |                    |  1,196,541 $ |   201,710 km |      22,880 $ |    385 km
2026-02-04|       |                    |  1,212,710 $ |   202,060 km |      16,089 $ |    347 km
2026-02-05|       |                    |  1,235,128 $ |   202,465 km |      22,262 $ |    400 km
2026-02-06|       |                    |  1,266,452 $ |   202,990 km |      31,157 $ |    521 km
2026-02-07|       |                    |  1,297,635 $ |   203,429 km |      31,052 $ |    437 km
2026-02-08|       |                    |  1,328,683 $ |   203,956 km |      30,874 $ |    522 km
2026-02-09|       |                    |  1,360,713 $ |   204,322 km |      31,895 $ |    360 km
2026-02-10|       |                    |  1,384,622 $ |   204,760 km |      23,909 $ |    438 km
2026-02-11|       |                    |  1,415,127 $ |   205,263 km |      30,370 $ |    498 km
2026-02-12|       |                    |  1,443,033 $ |   205,705 km |      27,786 $ |    437 km
2026-02-13|       |                    |  1,473,175 $ |   206,182 km |      29,992 $ |    471 km
2026-02-14|       |                    |  1,496,522 $ |   206,624 km |      23,212 $ |    437 km
2026-02-15|       |                    |  1,515,670 $ |   207,072 km |      18,911 $ |    442 km
2026-02-16|       |                    |  1,544,248 $ |   207,547 km |      28,288 $ |    465 km
2026-02-17|       |                    |  1,573,492 $ |   208,094 km |      28,661 $ |    537 km
2026-02-18|       |                    |  1,599,389 $ |   208,612 km |      25,824 $ |    518 km
2026-02-19|       |                    |  1,628,404 $ |   209,224 km |      28,798 $ |    606 km
2026-02-20|       |                    |  1,650,014 $ |   209,680 km |      21,403 $ |    449 km
2026-02-21|       |                    |  1,657,955 $ |   209,894 km |       7,941 $ |    214 km
2026-02-22|       |                    |  1,701,575 $ |   210,712 km |      26,757 $ |    436 km
2026-02-23|       |                    |  1,739,437 $ |   211,515 km |      37,704 $ |    800 km
2026-02-24|       |                    |  1,760,544 $ |   212,025 km |      20,933 $ |    505 km
2026-02-25|       |                    |  1,780,141 $ |   212,538 km |      19,134 $ |    509 km
2026-02-26|       |                    |  1,800,269 $ |   213,066 km |      20,002 $ |    524 km
2026-02-27|       |                    |  1,816,473 $ |   213,448 km |      16,136 $ |    380 km
2026-02-28|       |                    |  1,843,727 $ |   213,921 km |      27,160 $ |    470 km

2026-03-01|       |                    |  1,868,559 $ |   214,247 km |      24,622 $ |    319 km
2026-03-02|       |                    |  1,894,689 $ |   214,726 km |      25,729 $ |    475 km
2026-03-03|       |                    |  1,909,287 $ |   215,280 km |      14,385 $ |    548 km
2026-03-04|       |                    |  1,934,406 $ |   215,784 km |      25,040 $ |    502 km
2026-03-05|       |                    |  1,954,985 $ |   216,236 km |      20,468 $ |    449 km
2026-03-06|       |                    |  1,973,771 $ |   216,691 km |      18,776 $ |    455 km
2026-03-07|       |                    |  1,995,073 $ |   217,190 km |      21,181 $ |    496 km
2026-03-08|       |                    |  2,012,524 $ |   217,596 km |      17,403 $ |    404 km
2026-03-09|       |                    |  2,034,708 $ |   218,149 km |      22,080 $ |    550 km
2026-03-10|       |                    |  2,053,559 $ |   218,646 km |      18,740 $ |    494 km
2026-03-11|       |                    |  2,075,139 $ |   219,112 km |      21,350 $ |    460 km
2026-03-12|       |                    |  2,099,138 $ |   219,625 km |      23,890 $ |    509 km
2026-03-13|       |                    |  2,125,430 $ |   220,188 km |      26,292 $ |    563 km
2026-03-14|       |                    |  2,144,244 $ |   220,624 km |      18,811 $ |    436 km
2026-03-15|       |                    |  2,169,578 $ |   221,176 km |      25,314 $ |    551 km
2026-03-16|       |                    |  2,193,751 $ |   221,652 km |      24,115 $ |    475 km
2026-03-17|       |                    |  2,213,563 $ |   222,124 km |      19,812 $ |    472 km
2026-03-18|       |                    |  2,228,779 $ |   222,554 km |      15,167 $ |    429 km
2026-03-19|       |                    |  2,250,978 $ |   223,061 km |      22,198 $ |    507 km
2026-03-20|       |                    |  2,274,972 $ |   223,591 km |      23,886 $ |    527 km
2026-03-21|       |                    |  2,301,119 $ |   224,191 km |      26,147 $ |    600 km
2026-03-22|       |                    |  2,325,460 $ |   224,749 km |      24,038 $ |    556 km
2026-03-23|       |                    |  2,344,228 $ |   225,229 km |      18,693 $ |    478 km
2026-03-24|       |                    |  2,368,457 $ |   225,758 km |      24,229 $ |    529 km
2026-03-25|       |                    |  2,389,676 $ |   226,267 km |      21,219 $ |    509 km
2026-03-26|       |                    |  2,408,620 $ |   226,700 km |      18,921 $ |    432 km
